שם תחנה,מספר תחנה,תאריך,"כמות גשם יומית(מ""מ)",קוד גשם יומי()
אפק                                               ,111145,22/12/2020,1.8,0
עפולה ניר העמק                                    ,221604,22/12/2020,2.5,0
עכו                                               ,110695,22/12/2020,3.8,7
אלון הגליל                                        ,213905,22/12/2020,8,0
אלוני הבשן                                        ,2496501,22/12/2020,0.1,0
אלמגור                                            ,311650,22/12/2020,0.4,0
אמירים                                            ,212352,22/12/2020,1,0
עמיעד                                             ,212670,22/12/2020,1.2,0
עמיעד קיבוץ                                       ,212651,22/12/2020,0.4,0
עמיקם                                             ,121801,22/12/2020,1,0
אמנון                                             ,311700,22/12/2020,1,0
ארגמן דרום                                        ,322656,22/12/2020,0.2,0
אריאל מכללה                                       ,241414,22/12/2020,2.1,0
אשדות יעקב מאוחד                                  ,321148,22/12/2020,0.8,0
עתלית                                             ,120920,22/12/2020,0.2,0
עתלית חב המלח                                     ,120900,22/12/2020,0.2,5
אבני איתן                                         ,2494552,22/12/2020,1.1,0
ברעם - מטעים                                      ,210803,22/12/2020,0,9
ברקאי                                             ,130550,22/12/2020,0.2,5
בארותיים                                          ,132430,22/12/2020,6.7,0
בית ג'ן                                           ,211941,22/12/2020,1.5,5
בית ינאי                                          ,131645,22/12/2020,0.3,5
בני דרור                                          ,133200,22/12/2020,0,9
בני יהודה                                         ,2494661,22/12/2020,1.8,0
ברכה                                              ,241145,22/12/2020,2.5,0
בית אריה                                          ,241521,22/12/2020,0.1,0
בית העמק                                          ,110600,22/12/2020,2,0
בית השיטה                                         ,230453,22/12/2020,2.7,0
בית לחם הגלילית                                   ,214252,22/12/2020,2,5
בית אורן                                          ,120800,22/12/2020,1.4,0
בית קשת                                           ,214701,22/12/2020,3,0
בית רימון                                         ,213681,22/12/2020,7,0
בית יצחק                                          ,132475,22/12/2020,3,5
בית ציידה                                         ,311660,22/12/2020,1.1,0
בית זרע                                           ,320801,22/12/2020,0.8,0
בנימינה                                           ,130011,22/12/2020,0.5,0
בנימינה מערב                                      ,130020,22/12/2020,0.3,0
דפנה                                              ,310098,22/12/2020,0.1,0
דפנה מאוישת                                       ,310093,22/12/2020,0.1,0
דאלית אל-כרמל                                     ,121030,22/12/2020,1.5,0
דברת                                              ,216050,22/12/2020,2,0
דגניה א'                                          ,320502,22/12/2020,1.2,0
דגניה ב'                                          ,320650,22/12/2020,1,0
דייר חנא                                          ,213054,22/12/2020,2.8,0
דייר חנא מאוישת                                   ,213052,22/12/2020,2.8,0
עיילבון                                           ,213201,22/12/2020,5.5,0
אל -רום                                           ,2489600,22/12/2020,0,9
עלי                                               ,241487,22/12/2020,0.1,0
אילון                                             ,210753,22/12/2020,0.3,0
אילון מאוישת                                      ,210748,22/12/2020,0.3,0
עין החורש מאוישת                                  ,131599,22/12/2020,0,9
עין המפרץ                                         ,110951,22/12/2020,7.4,0
עין חרוד איחוד                                    ,230253,22/12/2020,3.3,0
עין חרוד מאוחד                                    ,230300,22/12/2020,3.3,0
עין השופט מאוישת                                  ,121540,22/12/2020,0,9
עין כרמל מאוישת                                   ,121051,22/12/2020,0.3,0
אשחר                                              ,212846,22/12/2020,2.9,0
עברון                                             ,110502,22/12/2020,1.5,0
פסוטה                                             ,210902,22/12/2020,0.2,7
געש                                               ,133649,22/12/2020,0.2,0
גלעד                                              ,121852,22/12/2020,0.2,0
גלעד מאוישת                                       ,121851,22/12/2020,0.2,5
גמלא                                              ,2493350,22/12/2020,0.1,0
גמלא מאוישת                                       ,2493330,22/12/2020,0.1,7
גן השומרון                                        ,130850,22/12/2020,0.5,5
גן שמואל                                          ,131002,22/12/2020,0.2,0
גזית                                              ,216101,22/12/2020,3.3,0
גשר                                               ,321250,22/12/2020,8.3,0
גיניגר                                            ,220550,22/12/2020,4.8,0
גינוסר                                            ,320099,22/12/2020,1.8,0
חיפה נמל מאוישת                                   ,120202,22/12/2020,3.5,0
חיפה בתי זיקוק                                    ,111510,22/12/2020,5.6,0
חיפה טכניון                                       ,120530,22/12/2020,6.5,0
חיפה אוניברסיטה                                   ,120629,22/12/2020,7.9,0
חיפה אוניברסיטה מאוישת                            ,120630,22/12/2020,7.7,5
חמדיה                                             ,230601,22/12/2020,2.9,0
חניתה                                             ,210502,22/12/2020,0.2,7
האון                                              ,320350,22/12/2020,1.4,5
הררית                                             ,213119,22/12/2020,8,0
חרשים                                             ,212171,22/12/2020,0.6,0
חרשים מאוישת                                      ,212168,22/12/2020,0.5,0
הרדוף                                             ,213775,22/12/2020,4.5,0
חי בר כרמל                                        ,120570,22/12/2020,3.7,0
היוגב                                             ,221252,22/12/2020,3,0
הזורעים                                           ,214202,22/12/2020,1,0
הזורע                                             ,220901,22/12/2020,4,0
חוקוק                                             ,212950,22/12/2020,0.4,0
חורפיש                                            ,211251,22/12/2020,1,5
חורפיש מרכז                                       ,211253,22/12/2020,1,5
אכסאל                                             ,215701,22/12/2020,3,7
איתמר                                             ,241260,22/12/2020,0.8,0
איתמר מאוישת                                      ,241181,22/12/2020,1.8,0
ג'ת                                               ,131282,22/12/2020,0,9
כברי                                              ,211100,22/12/2020,0.5,0
כאוכב                                             ,213221,22/12/2020,4.8,5
כפר גדעון                                         ,220981,22/12/2020,3,0
כפר גלעדי מאוישת                                  ,210151,22/12/2020,0.3,0
כפר גליקסון                                       ,122097,22/12/2020,0.3,0
כפר המכבי                                         ,111650,22/12/2020,5.5,0
כפר חסידים                                        ,111800,22/12/2020,8,0
כפר הס                                            ,133500,22/12/2020,0.3,0
כפר חיטים                                         ,213451,22/12/2020,8,0
כפר מסריק                                         ,111001,22/12/2020,12.4,0
כפר נחום                                          ,311656,22/12/2020,0.1,0
כפר נחום מאוישת                                   ,311655,22/12/2020,0.1,5
כפר פינס                                          ,130502,22/12/2020,0.2,5
כפר ראש הנקרה                                     ,110050,22/12/2020,0.2,5
כפר שמריהו                                        ,134101,22/12/2020,0.2,7
כפר סומיע                                         ,211472,22/12/2020,0.7,0
כפר תפוח                                          ,241361,22/12/2020,0.9,5
כפר יחזקאל                                        ,230050,22/12/2020,3.5,0
כפר יהושע                                         ,220300,22/12/2020,0.5,0
"כרם מהר""ל                                         ",121142,22/12/2020,0.3,0
כנרת מושבה                                        ,320405,22/12/2020,1.2,0
כנרת קבוצה                                        ,320448,22/12/2020,1.1,0
כוכב הירדן                                        ,216255,22/12/2020,0.9,0
לטרון מנזר                                        ,242951,22/12/2020,0.3,0
לביא                                              ,213598,22/12/2020,4.4,0
לימן                                              ,110200,22/12/2020,0.5,0
מעברות                                            ,131801,22/12/2020,0.2,0
מעיין צבי                                         ,121651,22/12/2020,0.2,5
מעיין צבי בריכות                                  ,121635,22/12/2020,0.2,5
מסד                                               ,213212,22/12/2020,3.4,0
מסדה                                              ,320901,22/12/2020,0.8,0
מתת                                               ,211010,22/12/2020,0.1,0
מצובה                                             ,210700,22/12/2020,0.3,0
מי עמי                                            ,122502,22/12/2020,1.1,0
מגידו גן לאומי                                    ,221705,22/12/2020,0.2,0
מחולה                                             ,322102,22/12/2020,0,9
מאיר שפיה כפר הנוער                               ,121602,22/12/2020,0.2,7
מנורים                                            ,213881,22/12/2020,3,5
מירב                                              ,240212,22/12/2020,0.1,0
מרחביה מושב                                       ,221521,22/12/2020,1.9,0
מירון צפון                                        ,211605,22/12/2020,0.5,5
מצר                                               ,131050,22/12/2020,1,0
מעיליא                                            ,211152,22/12/2020,0.6,0
מכמנים                                            ,212840,22/12/2020,0.7,5
משמר העמק                                         ,221202,22/12/2020,1,0
מצפה                                              ,213652,22/12/2020,5.2,0
מזרע                                              ,220850,22/12/2020,2.3,0
מזרע מטעים                                        ,220530,22/12/2020,2,0
מולדת                                             ,221650,22/12/2020,0.2,0
מורשת                                             ,213240,22/12/2020,3.5,0
נחל עמוד עליון                                    ,211782,22/12/2020,0.2,5
נחל תנינים                                        ,121870,22/12/2020,0.1,5
נהרייה שכונת רסקו                                 ,110390,22/12/2020,1.2,0
נחשולים מטעים                                     ,121360,22/12/2020,0.2,5
נחשון                                             ,243110,22/12/2020,0.1,0
נתיב הלה                                          ,247003,22/12/2020,0.1,0
נתיב הלה מאוישת                                   ,247002,22/12/2020,0.1,0
נווה אור                                          ,321301,22/12/2020,1,0
נווה יער                                          ,220048,22/12/2020,6.7,0
נווה יער מאוישת                                   ,220049,22/12/2020,7,0
נצר סרני                                          ,137549,22/12/2020,0.2,0
ניר עציון                                         ,120870,22/12/2020,2.5,0
ניר עציון שדות                                    ,120860,22/12/2020,0.2,0
פארק הכרמל                                        ,120770,22/12/2020,2.3,0
פרוד                                              ,212601,22/12/2020,1,5
פקיעין                                            ,211401,22/12/2020,1.1,0
קדימה                                             ,132905,22/12/2020,1.8,0
קרני שומרון                                       ,241220,22/12/2020,2.2,0
קדומים                                            ,241135,22/12/2020,7,0
קריית טבעון                                       ,214580,22/12/2020,7,5
רמת דוד                                           ,220350,22/12/2020,4.9,0
רמת השופט                                         ,121350,22/12/2020,0.1,0
רמת מגשימים                                       ,2494353,22/12/2020,0.5,5
רמת צבי                                           ,221633,22/12/2020,0.5,0
רמות                                              ,2320105,22/12/2020,1,7
רגבים                                             ,121900,22/12/2020,1.8,0
רגבה                                              ,110552,22/12/2020,3.9,0
